"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2019","97.90","97.80","98.08","97.76","-","0.11%"
"Jul 25, 2019","97.80","97.68","97.92","97.50","-","0.07%"
"Jul 24, 2019","97.73","97.72","97.81","97.55","-","0.03%"
"Jul 23, 2019","97.70","97.30","97.74","97.30","-","0.45%"
"Jul 22, 2019","97.26","97.14","97.30","97.13","-","0.11%"
"Jul 21, 2019","97.15","97.14","97.17","97.13","-","0.00%"
"Jul 19, 2019","97.15","96.82","97.29","96.76","-","0.37%"
"Jul 18, 2019","96.79","97.19","97.26","96.67","-","-0.44%"
"Jul 17, 2019","97.22","97.36","97.44","97.16","-","-0.17%"
"Jul 16, 2019","97.39","96.92","97.44","96.92","-","0.47%"
"Jul 15, 2019","96.93","96.84","96.97","96.75","-","0.12%"
"Jul 12, 2019","96.81","97.08","97.12","96.72","-","-0.25%"
"Jul 11, 2019","97.05","97.06","97.15","96.80","-","-0.05%"
"Jul 10, 2019","97.10","97.51","97.55","97.03","-","-0.40%"
"Jul 09, 2019","97.49","97.38","97.59","97.36","-","0.11%"
"Jul 08, 2019","97.38","97.23","97.42","97.16","-","0.09%"
"Jul 05, 2019","97.29","96.72","97.44","96.72","-","0.54%"
"Jul 04, 2019","96.77","96.71","96.81","96.66","-","0.00%"
"Jul 03, 2019","96.77","96.73","96.87","96.59","-","0.04%"
"Jul 02, 2019","96.73","96.81","96.88","96.60","-","-0.11%"
"Jul 01, 2019","96.84","96.25","96.87","96.25","-","0.74%"
"Jun 28, 2019","96.13","96.19","96.30","96.02","-","-0.06%"
"Jun 27, 2019","96.19","96.17","96.39","96.14","-","-0.02%"
"Jun 26, 2019","96.21","96.18","96.34","96.07","-","0.07%"
"Jun 25, 2019","96.14","96.00","96.36","95.84","-","0.17%"
"Jun 24, 2019","95.98","96.18","96.20","95.97","-","-0.25%"
"Jun 21, 2019","96.22","96.62","96.71","96.09","-","-0.42%"
"Jun 20, 2019","96.63","97.17","97.20","96.57","-","-0.50%"
"Jun 19, 2019","97.12","97.63","97.68","97.09","-","-0.53%"
"Jun 18, 2019","97.64","97.53","97.77","97.37","-","0.08%"
"Jun 17, 2019","97.56","97.52","97.60","97.34","-","-0.01%"
"Jun 14, 2019","97.57","97.01","97.58","96.94","-","0.58%"
"Jun 13, 2019","97.01","96.96","97.08","96.87","-","0.01%"
"Jun 12, 2019","97.00","96.71","97.02","96.58","-","0.32%"
"Jun 11, 2019","96.69","96.75","96.88","96.64","-","-0.07%"
"Jun 10, 2019","96.76","96.64","96.94","96.63","-","0.23%"
"Jun 07, 2019","96.54","97.01","97.18","96.46","-","-0.52%"
"Jun 06, 2019","97.04","97.29","97.35","96.78","-","-0.29%"
"Jun 05, 2019","97.32","97.12","97.37","96.75","-","0.26%"
"Jun 04, 2019","97.07","97.21","97.33","97.00","-","-0.07%"
"Jun 03, 2019","97.14","97.64","97.80","97.11","-","-0.62%"
"May 31, 2019","97.75","98.15","98.17","97.61","-","-0.40%"
"May 30, 2019","98.14","98.13","98.28","98.09","-","0.00%"
"May 29, 2019","98.14","97.92","98.21","97.86","-","0.19%"
"May 28, 2019","97.95","97.74","97.98","97.70","-","0.35%"
"May 27, 2019","97.61","97.57","97.79","97.55","-","0.00%"
"May 24, 2019","97.61","97.83","97.91","97.55","-","-0.26%"
"May 23, 2019","97.86","98.06","98.37","97.81","-","-0.18%"
"May 22, 2019","98.04","98.02","98.12","97.89","-","-0.02%"
"May 21, 2019","98.06","97.92","98.13","97.82","-","0.13%"
"May 20, 2019","97.93","97.96","98.04","97.88","-","-0.07%"
"May 17, 2019","98.00","97.83","98.03","97.77","-","0.14%"
"May 16, 2019","97.86","97.54","97.88","97.44","-","0.30%"
"May 15, 2019","97.57","97.53","97.70","97.44","-","0.04%"
"May 14, 2019","97.53","97.32","97.56","97.27","-","0.22%"
"May 13, 2019","97.32","97.30","97.38","97.03","-","-0.01%"
"May 10, 2019","97.33","97.43","97.45","97.13","-","-0.04%"
"May 09, 2019","97.37","97.58","97.70","97.24","-","-0.26%"
"May 08, 2019","97.62","97.57","97.68","97.42","-","-0.01%"
"May 07, 2019","97.63","97.52","97.74","97.38","-","0.11%"
"May 06, 2019","97.52","97.56","97.70","97.46","-","0.00%"
"May 03, 2019","97.52","97.83","98.10","97.41","-","-0.32%"
"May 02, 2019","97.83","97.63","97.85","97.51","-","0.14%"
"May 01, 2019","97.69","97.53","97.73","97.15","-","0.22%"
"Apr 30, 2019","97.48","97.84","97.89","97.44","-","-0.39%"
"Apr 29, 2019","97.86","98.03","98.10","97.83","-","-0.15%"
"Apr 26, 2019","98.01","98.12","98.33","97.85","-","-0.19%"
"Apr 25, 2019","98.20","98.10","98.32","97.99","-","0.03%"
"Apr 24, 2019","98.17","97.59","98.19","97.59","-","0.54%"
"Apr 23, 2019","97.64","97.28","97.78","97.28","-","0.36%"
"Apr 22, 2019","97.29","97.38","97.41","97.26","-","-0.09%"
"Apr 19, 2019","97.38","97.42","97.43","97.33","-","-0.09%"
"Apr 18, 2019","97.47","97.01","97.48","96.96","-","0.47%"
"Apr 17, 2019","97.01","97.07","97.12","96.82","-","-0.03%"
